飞机编号,对应的维修方案序号,对应的维修方案编号,时寿件/时控件,时寿件串号,完成时间,距离上次完成时间过后的飞行小时数,距离上次完成时间过后的起飞次数,是否跟踪,发动机时间
B-8010,51,301,时控件,3913,2017-2-15,,,是,
B-8010,20,12HK-30充,时控件,"01,02",2017-11-25,,,是,
B-8010,21,12HK-30放,时控件,"01,02",2017-11-25,,,是,
B-8010,32,470×210内,时寿件,01,2016-5-1,,,是,
B-8010,29,470×210后外,时寿件,01,2016-5-1,,,是,
B-8010,14,5T28-10-650,时寿件,01,2015-4-20,,,是,
B-8010,15,5T28-10-90,时寿件,01,2015-4-20,,,是,
B-8010,13,5T35-5-115,时寿件,"01,02,03,04",2015-4-20,,,是,
B-8010,16,5T35-5-9,时寿件,"01,02,03",2015-4-20,,,是,
B-8010,18,"5T4-10,L=100",时寿件,"01,02",2015-4-20,,,是,
B-8010,19,"5T4-10,L=150",时寿件,"01,02",2015-4-20,,,是,
B-8010,20,"5T4-10,L=170",时寿件,"01,02",2015-4-20,,,是,
B-8010,21,"5T4-10,L=300",时寿件,01,2015-4-20,,,是,
B-8010,22,"5T4-10,L=350",时寿件,01,2015-4-20,,,是,
B-8010,17,"5T4-10,L=550",时寿件,"01,02",2015-4-20,,,是,
B-8010,23,"5T4-10,L=800",时寿件,"01,02",2015-4-20,,,是,
B-8010,10,5T6-10-120,时寿件,01,2015-4-20,,,是,
B-8010,9,5T6-10-60,时寿件,01,2015-4-20,,,是,
B-8010,11,5T8-10-120,时寿件,"01,02",2015-4-20,,,是,
B-8010,12,5T8-10-300,时寿件,01,2015-4-20,,,是,
B-8010,31,800×260右内,时寿件,01,2016-5-1,,,是,
B-8010,28,800×260右外,时寿件,01,2016-5-1,,,是,
B-8010,30,800×260左内,时寿件,01,2016-5-1,,,是,
B-8010,27,800×260左外,时寿件,01,2016-5-1,,,是,
B-8010,38,AK-451,时控件,01,2017-12-6,,,是,
B-8010,65,AK-50P-12(KY-2),时控件,08842148,2015-3-1,,,是,192:59
B-8010,59,AKM-62IRA(QHQ-6),时控件,52318,2015-3-1,,,是,192:59
B-8010,2,ASZ-62IR-6,时控件,k1645767,2015-3-30,,,是,192:59
B-8010,36,BC-10,时控件,74465,2017-12-6,,,是,
B-8010,34,BG12-1A,时控件,11274,2017-12-6,,,是,
B-8010,35,BK-350,时控件,"44403,44357",2017-12-6,,,是,
B-8010,63,BNK-12BK(XB-13),时控件,0041160,2015-3-1,,,是,192:59
B-8010,50,BRQ60-IA,时控件,1209,2017-12-6,00:00,,是,
B-8010,49,BRQ80-IA,时控件,1081,2017-12-6,00:00,,是,
B-8010,57,BSM-9F(CD-4),时控件,"8705058,8705059",2015-3-1,,,是,192:59
B-8010,31,BWY-1,时控件,01,2017-11-6,00:00,,是,
B-8010,29,BYJ-1,时控件,60491,2017-11-6,00:00,,是,
B-8010,45,CJ-400D,时控件,0101074,2012-4-3,391:37,,是,
B-8010,34,CQ405右,时寿件,01,2016-5-1,,,是,
B-8010,33,CQ405左,时寿件,01,2016-5-1,,,是,
B-8010,22,DG-29,时控件,"99036020,9906027",2017-11-6,00:00,,是,
B-8010,39,DG-6-方向舵,时控件,0203044,2012-4-3,391:37,,是,
B-8010,39,DG-6-副翼,时控件,0204068,2012-4-3,391:37,,是,
B-8010,39,DG-6-升降舵,时控件,0204031,2012-4-3,391:37,,是,
B-8010,44,FKH-5M,时控件,93011-D,2012-4-3,391:37,,是,
B-8010,58,GSN-3000M(2F-3),时控件,7410088,2015-3-1,,,是,192:59
B-8010,7,GUR-6A,时控件,"200145,97030,200135,200123,200132,200118",2017-12-6,00:00,,是,
B-8010,56,GY1,时控件,14112,2017-2-15,94:03,,是,
B-8010,33,GZ-13,时控件,14273,2017-4-23,387:13,,是,
B-8010,1,HB4-127-12Y16*15*475,时寿件,"01,02,03,04,05,06",2015-4-20,,,是,
B-8010,6,HB4-128-12H25*15*470,时寿件,01,2015-4-20,,,,
B-8010,5,HB4-128-12H25*15*530,时寿件,"01,02",2015-4-20,,,,
