序号,编号,来源,型号,名称,件号,部件型号,适用性,维修描述,备注,基准h,最小值h,最大值h,基准t,最小值t,最大值t,基准类型d,基准d,偏差类型d,最小值d,最大值d,基准e,最小值e,最大值e
1,HB4-127-12Y16*15*475,维修大纲,HB4-127-12Y16*15*475,汽油系统编织软管,HB4-127-12Y16*15*475,,,更   换,,,,,,,,年,3,,,,,,
2,HB4-128-12Y14*15*655,维修大纲,HB4-128-12Y14*15*655,汽油系统编织软管,HB4-128-12Y14*15*655,,,更   换,,,,,,,,年,3,,,,,,
3,HB4-128-12Y14*15*625,维修大纲,HB4-128-12Y14*15*625,汽油系统编织软管,HB4-128-12Y14*15*625,,,更   换,,,,,,,,年,3,,,,,,
4,HB4-128-12Y14*15*530,维修大纲,HB4-128-12Y14*15*530,汽油系统编织软管,HB4-128-12Y14*15*530,,,更   换,,,,,,,,年,3,,,,,,
5,HB4-128-12H25*15*530,维修大纲,HB4-128-12H25*15*530,滑油系统编织软管,HB4-128-12H25*15*530,,,更   换,,,,,,,,年,3,,,,,,
6,HB4-128-12H25*15*470,维修大纲,HB4-128-12H25*15*470,滑油系统编织软管,HB4-128-12H25*15*470,,,更   换,,,,,,,,年,3,,,,,,
7,Y5-5800-52,维修大纲,Y5-5800-52,冷气系统金属编织软管,Y5-5800-52,,,更   换,,,,,,,,年,4,,,,,,
8,Y5-5800-12A/1.2,维修大纲,Y5-5800-12A/1.2,冷气系统金属编织软管,Y5-5800-12A/1.2,,,更   换,,,,,,,,年,4,,,,,,
9,5T6-10-60,维修大纲,5T6-10-60,夹布胶管,5T6-10-60,,,更   换,,,,,,,,年,3,,,,,,
10,5T6-10-120,维修大纲,5T6-10-120,夹布胶管,5T6-10-120,,,更   换,,,,,,,,年,3,,,,,,
11,5T8-10-120,维修大纲,5T8-10-120,夹布胶管,5T8-10-120,,,更   换,,,,,,,,年,3,,,,,,
12,5T8-10-300,维修大纲,5T8-10-300,夹布胶管,5T8-10-300,,,更   换,,,,,,,,年,3,,,,,,
13,5T35-5-115,维修大纲,5T35-5-115,夹布胶管,5T35-5-115,,,更   换,,,,,,,,年,4,,,,,,
14,5T28-10-650,维修大纲,5T28-10-650,夹布胶管,5T28-10-650,,,更   换,,,,,,,,年,4,,,,,,
15,5T28-10-90,维修大纲,5T28-10-90,夹布胶管,5T28-10-90,,,更   换,,,,,,,,年,4,,,,,,
16,5T35-5-9,维修大纲,5T35-5-9,夹布胶管,5T35-5-9,,,更   换,,,,,,,,年,4,,,,,,
17,"5T4-10,L=550",维修大纲,"5T4-10,L=550",夹布胶管,"5T4-10,L=550",,,更   换,,,,,,,,年,4,,,,,,
18,"5T4-10,L=100",维修大纲,"5T4-10,L=100",夹布胶管,"5T4-10,L=100",,,更   换,,,,,,,,年,4,,,,,,
19,"5T4-10,L=150",维修大纲,"5T4-10,L=150",夹布胶管,"5T4-10,L=150",,,更   换,,,,,,,,年,4,,,,,,
20,"5T4-10,L=170",维修大纲,"5T4-10,L=170",夹布胶管,"5T4-10,L=170",,,更   换,,,,,,,,年,4,,,,,,
21,"5T4-10,L=300",维修大纲,"5T4-10,L=300",夹布胶管,"5T4-10,L=300",,,更   换,,,,,,,,年,4,,,,,,
22,"5T4-10,L=350",维修大纲,"5T4-10,L=350",夹布胶管,"5T4-10,L=350",,,更   换,,,,,,,,年,4,,,,,,
23,"5T4-10,L=800",维修大纲,"5T4-10,L=800",夹布胶管,"5T4-10,L=800",,,更   换,,,,,,,,年,4,,,,,,
24,Y5-7706-0,其他,Y5-7706-0,减震装置,Y5-7706-0,,,视情更换,,,,,,,,年,5,,,,,,
25,Y5-7706-10,其他,Y5-7706-10,减震装置,Y5-7706-10,,,视情更换,,,,,,,,年,5,,,,,,
26,Y-7706-40,其他,Y-7706-40,减震装置,Y-7706-40,,,视情更换,,,,,,,,年,5,,,,,,
27,800×260左外,其他,800×260左外,左主外胎,800×260左外,,,更  换,,,,,,,,年,10,,,,,,
28,800×260右外,其他,800×260右外,右主外胎,800×260右外,,,更  换,,,,,,,,年,10,,,,,,
29,470×210后外,其他,470×210后外,后外胎,470×210后外,,,更  换,,,,,,,,年,10,,,,,,
30,800×260左内,其他,800×260左内,左主内胎,800×260左内,,,更  换,,,,,,,,年,10,,,,,,
31,800×260右内,其他,800×260右内,右主内胎,800×260右内,,,更  换,,,,,,,,年,10,,,,,,
32,470×210内,其他,470×210内,后内胎,470×210内,,,更  换,,,,,,,,年,10,,,,,,
33,CQ405左,其他,CQ405左,左刹车胎,CQ405左,,,更  换,,,,,,,,年,10,,,,,,
34,CQ405右,其他,CQ405右,右刹车胎,CQ405右,,,更  换,,,,,,,,年,10,,,,,,
