序号,编号,ATA章节号,ATA章节号,来源,型号,名称,件号,部件型号,适用性,维修描述,备注,基准h,最小值h,最大值h,基准t,最小值t,最大值t,基准类型d,基准d,偏差类型d,最小值d,最大值d,基准e,最小值e,最大值e
1,Y5B(D),,,维修大纲,Y5B(D),飞    机,Y5B(D),,适用性,翻   修,,1000,,,,,,,,,,,,,
2,ASZ-62IR-6,,,发动机使用说明,ASZ-62IR-6,发动机,ASZ-62IR-6,,适用性,翻   修,,,,,,,,,,,,1000,1000,,
3,J12-G15,,,螺旋桨使用说明,J12-G15,螺  旋  桨,J12-G15,,适用性,翻   修,,,,,,,,年,3,,,900,900,,
4,ZCH140-3/150,,,维修大纲,ZCH140-3/150,发动机灭火瓶,ZCH140-3/150,,适用性,检   查，更换螺炸帽,,,,,,,,年,1,,,,,,
5,MY1-1211,,,维修大纲,MY1-1211,手提灭火瓶,MY1-1211,,适用性,称重测量泄漏量,,,,,,,,年,1,,,,,,
6,ZUR-6A,,,适航指令,ZUR-6A,油量表指示器,ZUR-6A,,适用性,"燃油测量表校验,检查警告灯",,400,,,,,,年,2,,,,,,
7,GUR-6A,,,适航指令,GUR-6A,油量表传感器,GUR-6A,,适用性,检查校验,,400,,,,,,年,2,,,,,,
8,Y5-6400-100,,,维修大纲,Y5-6400-100,发动机架,Y5-6400-100,,适用性,翻  修,,1000,,,,,,,,,,,,,
9,Y5-6204-200,,,维修大纲,Y5-6204-200,滑油箱,Y5-6204-200,,适用性,翻  修,,1000,,,,,,,,,,,,,
10,Y5-6800-1,,,维修大纲,Y5-6800-1,排气管,Y5-6800-1,,适用性,翻  修,,1000,,,,,,,,,,,,,
11,Q/YA5-3-14*4320,,,维修大纲,Q/YA5-3-14*4320,前飞行涨线,Q/YA5-3-14*4320,,适用性,翻  修,,1000,,,,,,,,,,,,,
12,Y5-2300-20,,,维修大纲,Y5-2300-20,后飞行涨线,Y5-2300-20,,适用性,翻  修,,1000,,,,,,,,,,,,,
13,Y5-5801-30,,,维修大纲,Y5-5801-30,冷气瓶,Y5-5801-30,,适用性,翻  修,,1000,,,,,,,,,,,,,
14,Y5B-6111-0,,,维修大纲,Y5B-6111-0,汽油箱,Y5B-6111-0,,适用性,翻  修,,1000,,,,,,,,,,,,,
15,Y5B-6112-0,,,维修大纲,Y5B-6112-0,汽油箱,Y5B-6112-0,,适用性,翻  修,,1000,,,,,,,,,,,,,
16,Y5B-6113-0,,,维修大纲,Y5B-6113-0,汽油箱,Y5B-6113-0,,适用性,翻  修,,1000,,,,,,,,,,,,,
17,Y5-5110-23/1.2,,,维修大纲,Y5-5110-23/1.2,钢索,Y5-5110-23/1.2,,适用性,检查张力并调整,,,,,,,,月,6,,,,,,
18,Y5-5000-48/1.2,,,维修大纲,Y5-5000-48/1.2,钢索,Y5-5000-48/1.2,,适用性,检查张力并调整,,,,,,,,月,6,,,,,,
19,Y5-5000-47/3.5.7.9,,,维修大纲,Y5-5000-47/3.5.7.9,钢索,Y5-5000-47/3.5.7.9,,适用性,检查张力并调整,,,,,,,,月,6,,,,,,
20,12HK-30充,,,维修大纲,12HK-30充,蓄电池,12HK-30充,,适用性,1个月充电,,,,,,,,月,1,,,,,,
21,12HK-30放,,,维修大纲,12HK-30放,蓄电池,12HK-30放,,适用性,3个月放电,,,,,,,,月,3,,,,,,
22,DG-29,,,维修大纲,DG-29,雨刷电动机构,DG-29,,适用性,在位通电检查,,400,,,,,,,,,,,,,
23,XB-31,,,维修大纲,XB-31,酒精泵(液滤）,XB-31,,适用性,在位通电检查,,400,,,,,,,,,,,,,
24,JD-1,,,维修大纲,JD-1,操纵继电器,JD-1,,适用性,离位通电校验,,500,,,,,,,,,,,,,
25,Y5-5300-50,,,维修大纲,Y5-5300-50,电动机构能襟翼作动匣,Y5-5300-50,,适用性,离位通电校验,,500,,,,,,,,,,,,,
26,Y5-5301-15,,,维修大纲,Y5-5301-15,电动机构能襟翼作动匣,Y5-5301-15,,适用性,离位通电校验,,500,,,,,,,,,,,,,
27,KP-4716,,,维修大纲,KP-4716,点火线圈,KP-4716,,适用性,离位通电校验,,400,,,,,,,,,,,,,
28,MZJ-400A,,,维修大纲,MZJ-400A,直接接触器,MZJ-400A,,适用性,在位通电检查,,400,,,,,,,,,,,,,
29,BYJ-1,,,维修大纲,BYJ-1,进气压力表,BYJ-1,,适用性,在位通电检查,,400,,,,,,,,,,,,,
30,ZWG-1,,,维修大纲,ZWG-1,气缸头温度表,ZWG-1,,适用性,在位通电检查,,400,,,,,,,,,,,,,
31,BWY-1,,,维修大纲,BWY-1,温度压力组合表,BWY-1,,适用性,在位通电检查,,400,,,,,,,,,,,,,
32,ZZ30-1C,,,维修大纲,ZZ30-1C,转速表指示器,ZZ30-1C,,适用性,离位检查校验,,500,,,,,,,,,,,,,
33,GZ-13,,,维修大纲,GZ-13,转速表传感器,GZ-13,,适用性,离位检查校验,,500,,,,,,,,,,,,,
34,BG12-1A,,,维修大纲,BG12-1A,气压高度表,BG12-1A,,适用性,校验检测,,,,,,,,年,2,,,,,,
35,BK-350,,,维修大纲,BK-350,空速表,BK-350,,适用性,校验检测,,,,,,,,年,2,,,,,,
36,BC-10,,,维修大纲,BC-10,升降表,BC-10,,适用性,校验检测,,,,,,,,年,2,,,,,,
37,KT76C,,,维修大纲,KT76C,应答机,KT76C,,适用性,检验检查,,,,,,,,年,2,,,,,,
38,AK-451,,,维修大纲,AK-451,应急定位发射机,AK-451,,适用性,检查,,,,,,,,年,1,,,,,,
39,DG-6-副翼,,,维修大纲,DG-6-副翼,副翼调整片电动机构,DG-6-副翼,,适用性,离位检验(换轴承油),,750,,,,,,,,,,,,,
40,DG-6-升降舵,,,维修大纲,DG-6-升降舵,升降舵调整片电动机构,DG-6-升降舵,,适用性,离位检验(换轴承油),,750,,,,,,,,,,,,,
41,DG-6-方向舵,,,维修大纲,DG-6-方向舵,方向舵调整片电机机构,DG-6-方向舵,,适用性,离位检验(换轴承油),,750,,,,,,,,,,,,,
42,SBL-40,,,维修大纲,SBL-40,三相变流机,SBL-40,,适用性,离位校验,,500,,,,,,,,,,,,,
